Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    March 31, 2022
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1000045|NICHOLAS FINANCIAL INC|10-Q|2022-02-09|edgar/data/1000045/0000950170-22-000940.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-01-13|edgar/data/1000045/0000950170-22-000296.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-01-31|edgar/data/1000045/0000950170-22-000568.txt
1000184|SAP SE|20-F|2022-03-03|edgar/data/1000184/0001104659-22-029675.txt
1000209|MEDALLION FINANCIAL CORP|10-K|2022-03-14|edgar/data/1000209/0000950170-22-003603.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-01-28|edgar/data/1000209/0001193125-22-020808.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-02-23|edgar/data/1000209/0001193125-22-049984.txt
1000228|HENRY SCHEIN INC|10-K|2022-02-15|edgar/data/1000228/0001000228-22-000016.txt
1000228|HENRY SCHEIN INC|8-K|2022-01-05|edgar/data/1000228/0001193125-22-002148.txt
1000228|HENRY SCHEIN INC|8-K|2022-02-15|edgar/data/1000228/0001000228-22-000013.txt
1000229|CORE LABORATORIES N V|10-K|2022-02-10|edgar/data/1000229/0000950170-22-001087.txt
1000229|CORE LABORATORIES N V|8-K|2022-02-02|edgar/data/1000229/0000950170-22-000686.txt
1000229|CORE LABORATORIES N V|8-K|2022-03-16|edgar/data/1000229/0000950170-22-003956.txt
1000230|OPTICAL CABLE CORP|10-Q|2022-03-17|edgar/data/1000230/0001437749-22-006521.txt
1000230|OPTICAL CABLE CORP|8-K|2022-03-18|edgar/data/1000230/0001437749-22-006656.txt
1000230|OPTICAL CABLE CORP|8-K|2022-03-29|edgar/data/1000230/0001437749-22-007553.txt
1000275|ROYAL BANK OF CANADA|6-K|2022-02-24|edgar/data/1000275/0001193125-22-050926.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|10-K|2022-03-11|edgar/data/1000298/0001558370-22-003437.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-01-07|edgar/data/1000298/0001104659-22-002292.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-03-11|edgar/data/1000298/0001104659-22-032595.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-03-22|edgar/data/1000298/0001104659-22-036616.txt
1000351|LEUTHOLD FUNDS INC|485BPOS|2022-01-28|edgar/data/1000351/0001387131-22-000987.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|10-K|2022-03-01|edgar/data/1000623/0001000623-22-000016.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|8-K|2022-02-02|edgar/data/1000623/0001000623-22-000003.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|8-K|2022-02-23|edgar/data/1000623/0001000623-22-000008.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|8-K|2022-02-25|edgar/data/1000623/0001104659-22-026861.txt
1000623|SCHWEITZER MAUDUIT INTERNATIONAL INC|8-K|2022-03-28|edgar/data/1000623/0001104659-22-038382.txt
1000683|BLONDER TONGUE LABORATORIES INC|10-K|2022-03-31|edgar/data/1000683/0001213900-22-016788.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|2022-01-27|edgar/data/1000683/0001213900-22-003985.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|2022-02-04|edgar/data/1000683/0001213900-22-005516.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|2022-02-15|edgar/data/1000683/0001213900-22-007900.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|2022-03-04|edgar/data/1000683/0001213900-22-010671.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|2022-03-14|edgar/data/1000683/0001213900-22-012070.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|2022-03-31|edgar/data/1000683/0001213900-22-016431.txt
1000694|NOVAVAX INC|10-K|2022-03-01|edgar/data/1000694/0001000694-22-000004.txt
1000694|NOVAVAX INC|8-K|2022-01-10|edgar/data/1000694/0001104659-22-002538.txt
1000694|NOVAVAX INC|8-K|2022-02-07|edgar/data/1000694/0001104659-22-012838.txt
1000694|NOVAVAX INC|8-K|2022-02-10|edgar/data/1000694/0001104659-22-019409.txt
1000694|NOVAVAX INC|8-K|2022-03-01|edgar/data/1000694/0001104659-22-028785.txt
1000694|NOVAVAX INC|8-K|2022-03-07|edgar/data/1000694/0001104659-22-031110.txt
1000697|WATERS CORP /DE/|10-K|2022-02-24|edgar/data/1000697/0001193125-22-051509.txt
1000697|WATERS CORP /DE/|8-K|2022-01-10|edgar/data/1000697/0001193125-22-005066.txt
1000697|WATERS CORP /DE/|8-K|2022-02-01|edgar/data/1000697/0001193125-22-023950.txt
1000753|INSPERITY, INC.|10-K|2022-02-11|edgar/data/1000753/0001000753-22-000009.txt
1000753|INSPERITY, INC.|8-K|2022-01-03|edgar/data/1000753/0001000753-22-000002.txt
1000753|INSPERITY, INC.|8-K|2022-02-10|edgar/data/1000753/0001000753-22-000007.txt
1001082|DISH Network CORP|10-K|2022-02-24|edgar/data/1001082/0001558370-22-001816.txt
1001082|DISH Network CORP|8-K|2022-01-04|edgar/data/1001082/0001001082-22-000006.txt
1001082|DISH Network CORP|8-K|2022-03-31|edgar/data/1001082/0001001082-22-000013.txt
1001085|BROOKFIELD ASSET MANAGEMENT INC.|40-F|2022-03-31|edgar/data/1001085/0001001085-22-000008.txt
1001115|GEOSPACE TECHNOLOGIES CORP|10-Q|2022-02-02|edgar/data/1001115/0000950170-22-000676.txt
1001115|GEOSPACE TECHNOLOGIES CORP|8-K|2022-01-20|edgar/data/1001115/0001193125-22-013188.txt
1001115|GEOSPACE TECHNOLOGIES CORP|8-K|2022-02-02|edgar/data/1001115/0001193125-22-025933.txt
1001171|BROADWAY FINANCIAL CORP \DE\|8-K|2022-03-14|edgar/data/1001171/0001140361-22-009388.txt
100122|TUCSON ELECTRIC POWER CO|10-K|2022-02-11|edgar/data/100122/0000100122-22-000004.txt
100122|TUCSON ELECTRIC POWER CO|8-K|2022-02-17|edgar/data/100122/0000100122-22-000007.txt
1001233|SANGAMO THERAPEUTICS, INC|10-K|2022-02-24|edgar/data/1001233/0001628280-22-003819.txt
1001233|SANGAMO THERAPEUTICS, INC|8-K|2022-01-06|edgar/data/1001233/0001628280-22-000401.txt
1001233|SANGAMO THERAPEUTICS, INC|8-K|2022-02-09|edgar/data/1001233/0001628280-22-002051.txt
1001233|SANGAMO THERAPEUTICS, INC|8-K|2022-02-24|edgar/data/1001233/0001628280-22-003812.txt
