Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    September 30, 2022
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1000045|NICHOLAS FINANCIAL INC|10-Q|2022-08-10|edgar/data/1000045/0000950170-22-016293.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-07-18|edgar/data/1000045/0000950170-22-012768.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-07-22|edgar/data/1000045/0000950170-22-012923.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-07-29|edgar/data/1000045/0000950170-22-013511.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-08-17|edgar/data/1000045/0000950170-22-017554.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-08-30|edgar/data/1000045/0000950170-22-017872.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-08-30|edgar/data/1000045/0000950170-22-017875.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-08-30|edgar/data/1000045/0000950170-22-017915.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-09-15|edgar/data/1000045/0000950170-22-018553.txt
1000177|NORDIC AMERICAN TANKERS Ltd|6-K|2022-09-30|edgar/data/1000177/0001140361-22-035326.txt
1000209|MEDALLION FINANCIAL CORP|10-Q|2022-08-08|edgar/data/1000209/0000950170-22-015503.txt
1000209|MEDALLION FINANCIAL CORP|8-K/A|2022-08-11|edgar/data/1000209/0001193125-22-218053.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-07-27|edgar/data/1000209/0001193125-22-203408.txt
1000228|HENRY SCHEIN INC|10-Q|2022-08-02|edgar/data/1000228/0001000228-22-000056.txt
1000228|HENRY SCHEIN INC|8-K|2022-08-02|edgar/data/1000228/0001000228-22-000053.txt
1000229|CORE LABORATORIES N V|10-Q|2022-07-28|edgar/data/1000229/0000950170-22-013393.txt
1000229|CORE LABORATORIES N V|8-K|2022-07-27|edgar/data/1000229/0000950170-22-013124.txt
1000229|CORE LABORATORIES N V|8-K|2022-07-27|edgar/data/1000229/0000950170-22-013231.txt
1000230|OPTICAL CABLE CORP|10-Q|2022-09-12|edgar/data/1000230/0001437749-22-022175.txt
1000230|OPTICAL CABLE CORP|8-K|2022-07-07|edgar/data/1000230/0001437749-22-016819.txt
1000230|OPTICAL CABLE CORP|8-K|2022-09-13|edgar/data/1000230/0001437749-22-022312.txt
1000275|ROYAL BANK OF CANADA|6-K|2022-08-24|edgar/data/1000275/0001193125-22-228034.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|10-Q|2022-08-12|edgar/data/1000298/0001558370-22-013489.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K/A|2022-09-15|edgar/data/1000298/0001104659-22-100478.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-07-15|edgar/data/1000298/0001104659-22-079963.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-08-11|edgar/data/1000298/0001104659-22-089345.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-08-29|edgar/data/1000298/0001104659-22-095394.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-09-08|edgar/data/1000298/0001104659-22-098408.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-09-14|edgar/data/1000298/0001104659-22-100085.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|S-4/A|2022-08-29|edgar/data/1000298/0001104659-22-095637.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|S-4|2022-07-15|edgar/data/1000298/0001104659-22-080229.txt
1000623|Mativ Holdings, Inc.|10-Q|2022-08-09|edgar/data/1000623/0001000623-22-000056.txt
1000623|Mativ Holdings, Inc.|8-K|2022-07-06|edgar/data/1000623/0001193125-22-188253.txt
1000623|Mativ Holdings, Inc.|8-K|2022-08-09|edgar/data/1000623/0001000623-22-000057.txt
1000683|BLONDER TONGUE LABORATORIES INC|10-Q|2022-08-15|edgar/data/1000683/0001213900-22-048102.txt
1000683|BLONDER TONGUE LABORATORIES INC|8-K|2022-07-06|edgar/data/1000683/0001213900-22-037660.txt
1000694|NOVAVAX INC|10-Q|2022-08-09|edgar/data/1000694/0001000694-22-000016.txt
1000694|NOVAVAX INC|8-K|2022-07-11|edgar/data/1000694/0001104659-22-078846.txt
1000694|NOVAVAX INC|8-K|2022-08-09|edgar/data/1000694/0001104659-22-087998.txt
1000697|WATERS CORP /DE/|10-Q|2022-08-04|edgar/data/1000697/0001193125-22-212596.txt
1000697|WATERS CORP /DE/|8-K|2022-08-02|edgar/data/1000697/0001193125-22-209348.txt
1000753|INSPERITY, INC.|10-Q|2022-08-02|edgar/data/1000753/0001000753-22-000039.txt
1000753|INSPERITY, INC.|8-K|2022-07-06|edgar/data/1000753/0001193125-22-188640.txt
1000753|INSPERITY, INC.|8-K|2022-08-01|edgar/data/1000753/0001000753-22-000036.txt
1001082|DISH Network CORP|10-Q|2022-08-03|edgar/data/1001082/0001558370-22-011733.txt
1001085|BROOKFIELD ASSET MANAGEMENT INC.|6-K|2022-08-15|edgar/data/1001085/0001001085-22-000021.txt
