Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    December 31, 2022
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1000045|NICHOLAS FINANCIAL INC|10-Q|2022-11-14|edgar/data/1000045/0000950170-22-024756.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-10-27|edgar/data/1000045/0000950170-22-020230.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-11-03|edgar/data/1000045/0000950170-22-021926.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-11-04|edgar/data/1000045/0000950170-22-022210.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2022-12-12|edgar/data/1000045/0000950170-22-026317.txt
1000209|MEDALLION FINANCIAL CORP|10-Q|2022-11-03|edgar/data/1000209/0000950170-22-021831.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-10-27|edgar/data/1000209/0001193125-22-270968.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2022-11-15|edgar/data/1000209/0001193125-22-285755.txt
1000228|HENRY SCHEIN INC|10-Q|2022-11-01|edgar/data/1000228/0001000228-22-000068.txt
1000228|HENRY SCHEIN INC|8-K|2022-11-01|edgar/data/1000228/0001000228-22-000066.txt
1000228|HENRY SCHEIN INC|8-K|2022-11-29|edgar/data/1000228/0001193125-22-293869.txt
1000229|CORE LABORATORIES N V|10-Q|2022-10-28|edgar/data/1000229/0000950170-22-020366.txt
1000229|CORE LABORATORIES N V|8-K|2022-10-26|edgar/data/1000229/0000950170-22-020206.txt
1000229|CORE LABORATORIES N V|8-K|2022-11-04|edgar/data/1000229/0000950170-22-022223.txt
1000230|OPTICAL CABLE CORP|10-K|2022-12-22|edgar/data/1000230/0001437749-22-029578.txt
1000230|OPTICAL CABLE CORP|8-K|2022-12-22|edgar/data/1000230/0001437749-22-029602.txt
1000275|ROYAL BANK OF CANADA|40-F|2022-11-30|edgar/data/1000275/0001193125-22-294864.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|10-Q|2022-11-14|edgar/data/1000298/0001558370-22-017770.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-10-13|edgar/data/1000298/0001104659-22-108319.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-10-21|edgar/data/1000298/0001104659-22-110638.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-10-26|edgar/data/1000298/0001104659-22-111578.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-11-10|edgar/data/1000298/0001104659-22-117153.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-11-15|edgar/data/1000298/0001104659-22-119206.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-11-16|edgar/data/1000298/0001104659-22-119592.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2022-12-21|edgar/data/1000298/0001104659-22-129144.txt
1000623|Mativ Holdings, Inc.|10-Q|2022-11-09|edgar/data/1000623/0001000623-22-000069.txt
1000623|Mativ Holdings, Inc.|8-K/A|2022-12-27|edgar/data/1000623/0001193125-22-312118.txt
1000623|Mativ Holdings, Inc.|8-K|2022-10-27|edgar/data/1000623/0001193125-22-271066.txt
1000623|Mativ Holdings, Inc.|8-K|2022-11-09|edgar/data/1000623/0001000623-22-000070.txt
