Description:           XBRL Index of EDGAR Dissemination Feed
Last Data Received:    June 30, 2023
Comments:              webmaster@sec.gov
Anonymous FTP:         ftp://ftp.sec.gov/edgar/
 
 
 
 
CIK|Company Name|Form Type|Date Filed|Filename
--------------------------------------------------------------------------------
1000045|NICHOLAS FINANCIAL INC|10-K|2023-06-27|edgar/data/1000045/0000950170-23-030037.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2023-06-21|edgar/data/1000045/0000950170-23-029127.txt
1000045|NICHOLAS FINANCIAL INC|8-K|2023-06-29|edgar/data/1000045/0000950170-23-030797.txt
1000177|NORDIC AMERICAN TANKERS Ltd|20-F|2023-04-27|edgar/data/1000177/0001140361-23-020912.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|485BPOS|2023-04-24|edgar/data/1000191/0001193125-23-112908.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|485BPOS|2023-04-24|edgar/data/1000191/0001193125-23-112922.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|485BPOS|2023-04-24|edgar/data/1000191/0001193125-23-112936.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|485BPOS|2023-04-26|edgar/data/1000191/0001193125-23-117858.txt
1000191|RIVERSOURCE VARIABLE ACCOUNT 10|485BPOS|2023-04-26|edgar/data/1000191/0001193125-23-117881.txt
1000209|MEDALLION FINANCIAL CORP|10-Q|2023-05-09|edgar/data/1000209/0000950170-23-018931.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2023-04-28|edgar/data/1000209/0001193125-23-126892.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2023-05-01|edgar/data/1000209/0001193125-23-130388.txt
1000209|MEDALLION FINANCIAL CORP|8-K|2023-06-23|edgar/data/1000209/0001193125-23-173814.txt
1000228|HENRY SCHEIN INC|10-Q|2023-05-09|edgar/data/1000228/0001000228-23-000026.txt
1000228|HENRY SCHEIN INC|8-K|2023-05-09|edgar/data/1000228/0001000228-23-000024.txt
1000228|HENRY SCHEIN INC|8-K|2023-05-25|edgar/data/1000228/0001193125-23-154352.txt
1000228|HENRY SCHEIN INC|DEF 14A|2023-04-11|edgar/data/1000228/0001193125-23-097107.txt
1000229|CORE LABORATORIES N V|10-Q|2023-04-27|edgar/data/1000229/0000950170-23-015365.txt
1000229|CORE LABORATORIES N V|8-K|2023-04-04|edgar/data/1000229/0000950170-23-011651.txt
1000229|CORE LABORATORIES N V|8-K|2023-04-26|edgar/data/1000229/0000950170-23-014881.txt
1000229|CORE LABORATORIES N V|DEF 14A|2023-04-28|edgar/data/1000229/0000950170-23-015441.txt
1000230|OPTICAL CABLE CORP|10-Q|2023-06-12|edgar/data/1000230/0001437749-23-017089.txt
1000230|OPTICAL CABLE CORP|8-K|2023-06-13|edgar/data/1000230/0001437749-23-017259.txt
1000230|OPTICAL CABLE CORP|8-K|2023-06-30|edgar/data/1000230/0001437749-23-019050.txt
1000249|FIRST EAGLE VARIABLE FUNDS|485BPOS|2023-04-14|edgar/data/1000249/0000930413-23-001243.txt
1000249|FIRST EAGLE VARIABLE FUNDS|497|2023-06-30|edgar/data/1000249/0000930413-23-001801.txt
1000275|ROYAL BANK OF CANADA|6-K|2023-05-25|edgar/data/1000275/0001193125-23-153440.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2023-04-20|edgar/data/1000298/0001104659-23-047765.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2023-04-27|edgar/data/1000298/0001104659-23-050808.txt
1000298|IMPAC MORTGAGE HOLDINGS INC|8-K|2023-05-04|edgar/data/1000298/0001104659-23-056084.txt
